axis_ratio,removal,seed,eigengap,axis_drift_degrees
1.1,0.01,19,0.17032756292379905,0.19800395635864482
1.1,0.1,19,0.1809026910609132,3.2211982078638375
1.1,0.5,19,0.18987185929371458,2.6183084899625775
1.1,0.9,19,0.16038897507336913,2.354568816918457
1.1,0.01,20,0.17470012225204562,0.0015802157816529835
1.1,0.1,20,0.1779481974406542,1.0455911217514964
1.1,0.5,20,0.1754063318746083,14.406166555946388
1.1,0.9,20,0.1233009743524295,6.392890347174192
1.1,0.01,21,0.17517743691721482,0.8615076812028949
1.1,0.1,21,0.16992353383793696,1.384482605022103
1.1,0.5,21,0.14878336085092775,1.6582063725721696
1.1,0.9,21,0.29994486146767235,6.940576533664466
1.1,0.01,22,0.17178931417080953,0.44113674044798273
1.1,0.1,22,0.18028356273278734,0.3832708710673555
1.1,0.5,22,0.15831764315636596,8.807383420022736
1.1,0.9,22,0.18439608948519168,22.56418875234193
1.1,0.01,23,0.17146787923838056,0.0695937820108621
1.1,0.1,23,0.16900123923797764,0.5595990987428191
1.1,0.5,23,0.16882553212950735,4.54007502555958
1.1,0.9,23,0.11815718587899594,2.522718840137102
1.1,0.01,24,0.17494663764922236,1.2288041314339266
1.1,0.1,24,0.17324472089544135,0.28208685440410664
1.1,0.5,24,0.1493562444473995,4.747731217337762
1.1,0.9,24,0.12696897857715442,7.010512068478458
1.1,0.01,25,0.173463957347939,0.14412195264561395
1.1,0.1,25,0.16735070278598596,1.0301293261914881
1.1,0.5,25,0.15445745090299126,1.9527923649798387
1.1,0.9,25,0.26432358034058845,1.5355075874121502
1.1,0.01,26,0.17551714756743908,0.2980063592470169
1.1,0.1,26,0.1861092647214411,0.681051740311982
1.1,0.5,26,0.19677304332461856,8.879594230598508
1.1,0.9,26,0.3385064865125612,9.491307253810568
1.1,0.01,27,0.17071523868344582,0.4367574053744481
1.1,0.1,27,0.17684721832308578,1.7020042623684006
1.1,0.5,27,0.15296770048566152,1.5179976460655893
1.1,0.9,27,0.11157857410768164,54.906840118130106
1.1,0.01,28,0.17576099175868629,0.04474646659455197
1.1,0.1,28,0.18092471000240734,0.5010082636972641
1.1,0.5,28,0.19708426806864107,1.0025467055064423
1.1,0.9,28,0.14362212133257135,12.404712304384208
1.1,0.01,29,0.17486491986472874,0.019364933200361065
1.1,0.1,29,0.16867154207038418,1.8270404244005
1.1,0.5,29,0.14688349814044238,3.405360332422624
1.1,0.9,29,0.1560151063934308,19.97474705845781
2.0,0.01,0,0.7501494039918477,0.023222645895181887
2.0,0.1,0,0.7535836329348956,0.16592188069314562
2.0,0.5,0,0.737371305175344,0.5904827645842453
2.0,0.9,0,0.7592398448706272,0.6681966557690533
2.0,0.01,1,0.7511009387911742,0.05254216715076254
2.0,0.1,1,0.7486660690168654,0.01887819464918241
2.0,0.5,1,0.7570268660988733,0.04180635073534886
2.0,0.9,1,0.7022691426040187,1.12484956578098
2.0,0.01,2,0.7498087396467407,0.02359416686244583
2.0,0.1,2,0.745890269904861,0.024873921725134883
2.0,0.5,2,0.7475543119392299,0.3403733610081456
2.0,0.9,2,0.7802550833386712,1.3392423450014455
2.0,0.01,3,0.7519420307265317,0.002425423820813869
2.0,0.1,3,0.7500602219139905,0.09008978394520277
2.0,0.5,3,0.7571424071885156,0.46577308115892607
2.0,0.9,3,0.7536615989914778,0.05439228877993598
2.0,0.01,4,0.7504032336183196,0.14598415331385817
2.0,0.1,4,0.7492481329363626,0.1876067776457749
2.0,0.5,4,0.7532987433363943,0.03848846758885539
2.0,0.9,4,0.7398892688053191,2.001550192655893
2.0,0.01,5,0.7492585776215401,0.01526668848805459
2.0,0.1,5,0.7490406997593418,0.08981993522579602
2.0,0.5,5,0.7547670505620925,1.0329599373209524
2.0,0.9,5,0.7599010383068269,0.6764636366943717
2.0,0.01,6,0.748853267699787,0.056114735749807465
2.0,0.1,6,0.7505362534805041,0.20784149514913536
2.0,0.5,6,0.751987537854025,0.03127125519986518
2.0,0.9,6,0.7711533982835803,2.4759663100613922
