dataset,attack,attack_seed,sampling_seed,cap,nc,bit_accuracy,empty_bins
Railways,object_delete_90pct,3,4,1,0.8074259221243208,0.7734375,7
Railways,object_delete_90pct,3,5,1,0.8161412476632323,0.7802734375,7
Railways,object_delete_90pct,3,6,1,0.8012661337080316,0.765625,7
Railways,object_delete_90pct,3,7,1,0.817089100945912,0.78125,7
Railways,object_delete_90pct,3,8,1,0.820808947974726,0.7861328125,7
Railways,object_delete_90pct,3,9,1,0.8217532782795552,0.787109375,7
Railways,object_delete_90pct,3,0,3,0.8907245319949679,0.8681640625,7
Railways,object_delete_90pct,3,1,3,0.8904384100323222,0.8671875,7
Railways,object_delete_90pct,3,2,3,0.900855797667648,0.8798828125,7
Railways,object_delete_90pct,3,3,3,0.8857613044690185,0.861328125,7
Railways,object_delete_90pct,3,4,3,0.887940302360585,0.8642578125,7
Railways,object_delete_90pct,3,5,3,0.8871821930621508,0.8642578125,7
Railways,object_delete_90pct,3,6,3,0.894110336579747,0.8720703125,7
Railways,object_delete_90pct,3,7,3,0.8999805646281689,0.87890625,7
Railways,object_delete_90pct,3,8,3,0.8851235555611835,0.861328125,7
Railways,object_delete_90pct,3,9,3,0.9085645765576071,0.888671875,7
Railways,object_delete_90pct,3,0,5,0.9290910389892686,0.9130859375,7
Railways,object_delete_90pct,3,1,5,0.9389376465494745,0.9248046875,7
Railways,object_delete_90pct,3,2,5,0.9297314403725796,0.9140625,7
Railways,object_delete_90pct,3,3,5,0.9323813348332751,0.9169921875,7
Railways,object_delete_90pct,3,4,5,0.929309268519847,0.9130859375,7
Railways,object_delete_90pct,3,5,5,0.9263684090298397,0.9091796875,7
Railways,object_delete_90pct,3,6,5,0.9316386972524155,0.916015625,7
Railways,object_delete_90pct,3,7,5,0.9280704906662771,0.9111328125,7
Railways,object_delete_90pct,3,8,5,0.9318553698829807,0.916015625,7
Railways,object_delete_90pct,3,9,5,0.9294213866182298,0.9130859375,7
Railways,object_delete_90pct,3,0,10,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,1,10,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,2,10,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,3,10,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,4,10,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,5,10,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,6,10,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,7,10,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,8,10,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,9,10,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,0,1000000,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,1,1000000,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,2,1000000,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,3,1000000,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,4,1000000,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,5,1000000,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,6,1000000,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,7,1000000,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,8,1000000,0.9418658131647025,0.927734375,7
Railways,object_delete_90pct,3,9,1000000,0.9418658131647025,0.927734375,7
Railways,vertex_delete_50pct,4,0,1,0.735287002530314,0.6923828125,0
Railways,vertex_delete_50pct,4,1,1,0.7222590693548306,0.67578125,0
Railways,vertex_delete_50pct,4,2,1,0.7693397763860317,0.7294921875,0
Railways,vertex_delete_50pct,4,3,1,0.7596263169775997,0.71875,0
Railways,vertex_delete_50pct,4,4,1,0.733300631492352,0.689453125,0
Railways,vertex_delete_50pct,4,5,1,0.7627719631849796,0.724609375,0
Railways,vertex_delete_50pct,4,6,1,0.7380706436248723,0.6943359375,0
Railways,vertex_delete_50pct,4,7,1,0.7519980000395561,0.70703125,0
Railways,vertex_delete_50pct,4,8,1,0.758672504132824,0.7138671875,0
Railways,vertex_delete_50pct,4,9,1,0.7338715938148589,0.6875,0
Railways,vertex_delete_50pct,4,0,3,0.8113866102020205,0.775390625,0
Railways,vertex_delete_50pct,4,1,3,0.8271527783091086,0.794921875,0
Railways,vertex_delete_50pct,4,2,3,0.82172176564353,0.7880859375,0
Railways,vertex_delete_50pct,4,3,3,0.7918389536840358,0.75390625,0
Railways,vertex_delete_50pct,4,4,3,0.8383759913513166,0.806640625,0
Railways,vertex_delete_50pct,4,5,3,0.7949186901115147,0.759765625,0
Railways,vertex_delete_50pct,4,6,3,0.8028622067296496,0.7685546875,0
Railways,vertex_delete_50pct,4,7,3,0.8129269714127222,0.779296875,0
Railways,vertex_delete_50pct,4,8,3,0.815546060720829,0.7822265625,0
Railways,vertex_delete_50pct,4,9,3,0.8271552291285246,0.79296875,0
Railways,vertex_delete_50pct,4,0,5,0.8600952694272567,0.8310546875,0
Railways,vertex_delete_50pct,4,1,5,0.8713749404363309,0.84765625,0
Railways,vertex_delete_50pct,4,2,5,0.8719712290272827,0.84765625,0
