dataset,mode,attack,n,nc_mean,nc_std,ba_mean,ba_std,ber_mean,empty_mean,votes_mean,extraction_seconds_mean
Landuse,legacy,reverse_objects,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,41.69140625,0.11523558298358694
Landuse,legacy,reverse_vertices,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,41.693359375,0.10524075001012534
Landuse,legacy,rotation_135,1,0.9976212494588167,0.0,0.9970703125,0.0,0.0029296875,0.0,42.595703125,0.10473474999889731
Landuse,legacy,rotation_180,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,41.6904296875,0.10132645897101611
Landuse,legacy,rotation_225,1,0.9984126984126984,0.0,0.998046875,0.0,0.001953125,0.0,42.552734375,0.09951191698201
Landuse,legacy,rotation_270,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,41.69140625,0.1035349169978872
Landuse,legacy,rotation_315,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,42.640625,0.10326175001682714
Landuse,legacy,rotation_45,1,0.9984126984126984,0.0,0.998046875,0.0,0.001953125,0.0,42.595703125,0.10082291695289314
Landuse,legacy,rotation_90,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,41.689453125,0.10202891699736938
Landuse,legacy,scale_0p5,1,1.0,0.0,1.0,0.0,0.0,0.0,40.5458984375,0.10099304100731388
Landuse,legacy,translation_10,1,0.9968253968253968,0.0,0.99609375,0.0,0.00390625,0.0,41.6904296875,0.10577145795105025
Landuse,legacy,vertex_add_10pct,1,0.9992060340153568,0.0,0.9990234375,0.0,0.0009765625,0.0,45.6474609375,0.11712524999165908
Landuse,legacy,vertex_add_30pct,1,0.9952380952380953,0.0,0.994140625,0.0,0.005859375,0.0,53.6826171875,0.13269570900592953
Landuse,legacy,vertex_add_50pct,1,0.9523064499218378,0.0,0.94140625,0.0,0.05859375,0.0,61.5576171875,0.12774750002427027
Landuse,legacy,vertex_delete_30pct,1,0.9912933744490251,0.0,0.9892578125,0.0,0.0107421875,0.0,30.8359375,0.0971457920386456
Landuse,legacy,vertex_delete_50pct,1,0.9374588563774604,0.0,0.923828125,0.0,0.076171875,0.0,23.630859375,0.07844895799644291
Railways,legacy,compound,1,0.9360837420717975,0.0,0.9208984375,0.0,0.0791015625,0.0,30.8134765625,0.0916977499728091
Railways,legacy,crop_half_x,1,1.0,0.0,1.0,0.0,0.0,0.0,48.7333984375,0.12880225002299994
Railways,legacy,no_attack,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.14904420805396512
Railways,legacy,noise_10pct_0p6tau,1,1.0,0.0,1.0,0.0,0.0,0.0,51.244140625,0.13352154201129451
