dataset,mode,attack,seed,nc,bit_accuracy,ber,extraction_seconds,votes_total,empty_bins,votes_min,votes_median,votes_mean,votes_max,ties,variant,eigengap,retained_vertices
Boundary,audited,vertex_add_50pct,2,0.9156125871777242,0.8974609375,0.1025390625,0.3271649170201272,185489,0,139,181.0,181.1416015625,296,21,embed_pca_key,0.5114468445345842,185602
Boundary,audited,noise_10pct_0p6tau_m,2,0.9936419552606822,0.9921875,0.0078125,0.2102605840191245,123817,0,86,121.0,120.9150390625,166,2,embed_pca_key,0.5115432127053062,123933
Boundary,audited,noise_50pct_1p4tau_m,2,0.8063082205829524,0.7685546875,0.2314453125,0.2212058330187574,123903,0,92,121.0,120.9990234375,160,31,embed_pca_key,0.5115432085084773,123933
Boundary,audited,legacy_noise_50pct_1p4degrees,2,0.7939091244159907,0.7568359375,0.2431640625,0.1970239169895649,123903,0,92,121.0,120.9990234375,155,25,embed_pca_key,0.4595308831668836,123933
Boundary,audited,compound_metric,2,0.8172104404365857,0.7841796875,0.2158203125,0.1230000409996137,62073,0,38,60.0,60.6181640625,85,35,embed_pca_key,0.5349011322458483,62145
Boundary,audited,vertex_delete_30pct,3,0.9630284978066963,0.955078125,0.044921875,0.16302949999226257,86997,0,54,85.0,84.9580078125,121,9,embed_pca_key,0.5103022966394959,87150
Boundary,audited,vertex_delete_50pct,3,0.8767782479916251,0.8525390625,0.1474609375,0.11208275001263246,62418,0,36,61.0,60.955078125,99,25,embed_pca_key,0.5118304776256267,62571
Boundary,audited,object_delete_30pct,3,0.9944403454588447,0.9931640625,0.0068359375,0.17679666698677465,90352,0,62,88.0,88.234375,129,1,embed_pca_key,0.4895290644415707,90461
Boundary,audited,object_delete_90pct,3,0.8524202710265947,0.8173828125,0.1826171875,0.02320516703184694,10033,0,1,10.0,9.7978515625,31,83,embed_pca_key,0.5656871415679612,10041
Boundary,audited,vertex_add_10pct,3,0.9944340175269573,0.9931640625,0.0068359375,0.2496176669956185,136159,0,98,133.0,132.9677734375,173,1,embed_pca_key,0.5120225236903507,136305
Boundary,audited,vertex_add_30pct,3,0.974527235028328,0.96875,0.03125,0.27543129201512784,160618,0,114,157.0,156.853515625,239,14,embed_pca_key,0.5117517075150381,160744
Boundary,audited,vertex_add_50pct,3,0.9135475178097415,0.8955078125,0.1044921875,0.39293883298523724,185485,0,131,181.0,181.1376953125,277,13,embed_pca_key,0.5103438924208377,185600
Boundary,audited,noise_10pct_0p6tau_m,3,0.9952380952380953,0.994140625,0.005859375,0.20039662503404543,123798,0,90,121.0,120.896484375,167,2,embed_pca_key,0.5115432103571544,123933
Boundary,audited,noise_50pct_1p4tau_m,3,0.8070394550054658,0.771484375,0.228515625,0.21660412498749793,123902,0,90,121.0,120.998046875,161,31,embed_pca_key,0.5115432039312869,123933
Boundary,audited,legacy_noise_50pct_1p4degrees,3,0.8029319676658445,0.767578125,0.232421875,0.1903280839906074,123904,0,86,121.0,121.0,154,25,embed_pca_key,0.4560728102766858,123933
Boundary,audited,compound_metric,3,0.8290170374544733,0.7958984375,0.2041015625,0.13115645799553022,69194,0,43,67.0,67.572265625,100,37,embed_pca_key,0.5118670300442943,69245
Boundary,audited,vertex_delete_30pct,4,0.963230823879554,0.955078125,0.044921875,0.15061545901698992,86880,0,59,84.0,84.84375,117,9,embed_pca_key,0.510735274096011,87033
Boundary,audited,vertex_delete_50pct,4,0.8821446911185847,0.8583984375,0.1416015625,0.10666183399735019,62267,0,39,61.0,60.8076171875,90,31,embed_pca_key,0.5132538508232254,62420
